precision;eps;det;left;middle;right
float64;0.0;mat_det_2x2;50302;0;49698
float32;0.0;mat_det_2x2;50302;0;49698
float64;0.0;mat_det_2x2_lib;50302;0;49698
float32;0.0;mat_det_2x2_lib;50302;0;49698
float64;0.0;mat_det_3x3;50302;0;49698
float32;0.0;mat_det_3x3;50302;0;49698
float64;0.0;mat_det_3x3_lib;50302;0;49698
float32;0.0;mat_det_3x3_lib;50302;0;49698
float64;1e-14;mat_det_2x2;50302;0;49698
float32;1e-14;mat_det_2x2;50302;0;49698
float64;1e-14;mat_det_2x2_lib;50302;0;49698
float32;1e-14;mat_det_2x2_lib;50302;0;49698
float64;1e-14;mat_det_3x3;50302;0;49698
float32;1e-14;mat_det_3x3;50302;0;49698
float64;1e-14;mat_det_3x3_lib;50302;0;49698
float32;1e-14;mat_det_3x3_lib;50302;0;49698
float64;1e-12;mat_det_2x2;50302;0;49698
float32;1e-12;mat_det_2x2;50302;0;49698
float64;1e-12;mat_det_2x2_lib;50302;0;49698
float32;1e-12;mat_det_2x2_lib;50302;0;49698
float64;1e-12;mat_det_3x3;50302;0;49698
float32;1e-12;mat_det_3x3;50302;0;49698
float64;1e-12;mat_det_3x3_lib;50302;0;49698
float32;1e-12;mat_det_3x3_lib;50302;0;49698
float64;1e-10;mat_det_2x2;50302;0;49698
float32;1e-10;mat_det_2x2;50302;0;49698
float64;1e-10;mat_det_2x2_lib;50302;0;49698
float32;1e-10;mat_det_2x2_lib;50302;0;49698
float64;1e-10;mat_det_3x3;50302;0;49698
float32;1e-10;mat_det_3x3;50302;0;49698
float64;1e-10;mat_det_3x3_lib;50302;0;49698
float32;1e-10;mat_det_3x3_lib;50302;0;49698
float64;1e-08;mat_det_2x2;50302;0;49698
float32;1e-08;mat_det_2x2;50302;0;49698
float64;1e-08;mat_det_2x2_lib;50302;0;49698
float32;1e-08;mat_det_2x2_lib;50302;0;49698
float64;1e-08;mat_det_3x3;50302;0;49698
float32;1e-08;mat_det_3x3;50302;0;49698
float64;1e-08;mat_det_3x3_lib;50302;0;49698
float32;1e-08;mat_det_3x3_lib;50302;0;49698
